PPDA_H_Int1,PPDA_H_Int2,PPDA_H_Int3,PPDA_H_Int4,PPDA_H_Int5,PPDA_H_Int6,PPDA_A_Int1,PPDA_A_Int2,PPDA_A_Int3,PPDA_A_Int4,PPDA_A_Int5,PPDA_A_Int6,home team,away team,Relative quality,xG_H_Int1,xG_H_Int2,xG_H_Int3,xG_H_Int4,xG_H_Int5,xG_H_Int6,xG_A_Int1,xG_A_Int2,xG_A_Int3,xG_A_Int4,xG_A_Int5,xG_A_Int6,PPDA_H_1stHalf,PPDA_H_2ndHalf,PPDA_A_1stHalf,PPDA_A_2ndHalf,xG_H_1stHalf,xG_H_2ndHalf,xG_A_1stHalf,xG_A_2ndHalf,xG_H_Total,xG_A_Total,PPDA_H_Total,PPDA_A_Total,MatchSuspicionType,xG_Diff_Total,xG_Diff_1stHalf,xG_Diff_2ndHalf,PPDA_H_Change,PPDA_A_Change,HomePressingDrop,AwayPressingDrop,xG_H_Change,xG_A_Change,HomeAttackingDrop,AwayAttackingDrop,xG_H_Early,xG_A_Early,xG_H_Late,xG_A_Late,xG_H_Mid,xG_A_Mid,PPDA_H_Early,PPDA_A_Early,PPDA_H_Mid,PPDA_A_Mid,PPDA_H_Late,PPDA_A_Late,xG_H_to_PPDA,xG_A_to_PPDA,xG_H_TotalChange,xG_A_TotalChange,PPDA_H_TotalChange,PPDA_A_TotalChange
19.67,4.0,5.38,3.71,4.45,4.33,15.6,11.0,11.0,20.0,19.67,6.25,unidentified,unidentified,away team stronger,0.31,0.0,0.16,0.94,0.0,0.03,0.14,0.0,0.0,0.14,0.09,0.0,9.68,4.16,12.53,15.31,0.47,0.97,0.14,0.23,1.44,0.37,6.92,13.92,unidentified,1.07,0.33,0.74,-5.52,2.78,0,1,0.5,0.09,0,0,1.25,0.28,0.19,0.0,0.0,0.09,11.69,17.8,4.22,15.34,4.86,8.62,0.21,0.03,2.22,0.42,19.58,27.35
12.5,24.0,3.8,12.67,30.0,8.67,2.67,4.0,21.0,3.0,5.25,2.75,unidentified,unidentified,equal strength teams,0.22,0.05,0.02,0.2,0.0,0.0,0.14,0.0,0.07,0.07,0.0,0.1,13.43,17.11,9.22,3.67,0.29,0.2,0.21,0.17,0.49,0.38,15.27,6.44,unidentified,0.11,0.08,0.03,3.68,-5.55,1,0,-0.09,-0.04,1,1,0.42,0.21,0.02,0.17,0.05,0.0,12.58,2.84,27.0,4.62,6.24,11.88,0.03,0.06,0.58,0.38,79.23,41.08
8.0,15.8,60.0,21.0,8.5,9.5,12.33,4.6,5.11,4.33,5.0,3.36,unidentified,unidentified,equal strength teams,0.7,0.0,0.16,0.13,0.06,0.0,0.0,0.02,0.15,0.08,0.67,0.27,27.93,13.0,7.35,4.23,0.86,0.19,0.17,1.02,1.05,1.19,20.47,5.79,unidentified,-0.14,0.69,-0.83,-14.93,-3.12,0,0,-0.67,0.85,1,0,0.83,0.08,0.16,0.42,0.06,0.69,14.5,8.33,12.15,4.8,34.75,4.24,0.05,0.21,1.02,1.21,104.5,11.33
6.88,10.0,8.33,9.75,19.0,14.33,7.0,8.25,3.0,4.5,7.2,16.33,unidentified,unidentified,away team stronger,0.0,0.31,0.0,0.0,0.1,0.0,0.04,0.0,0.36,0.77,0.41,0.76,8.4,14.36,6.08,9.34,0.31,0.1,0.4,1.94,0.41,2.34,11.38,7.71,unidentified,-1.93,-0.09,-1.84,5.96,3.26,1,1,-0.21,1.54,1,0,0.0,0.81,0.0,1.12,0.41,0.41,8.32,5.75,14.5,7.72,11.33,9.66,0.04,0.3,0.82,1.52,20.13,19.83
2.88,3.33,2.4,3.3,3.2,7.0,10.25,5.0,7.33,8.33,5.6,25.67,unidentified,unidentified,equal strength teams,0.24,0.84,0.52,0.29,0.08,0.68,0.04,0.0,0.07,0.05,0.0,0.0,2.87,4.5,7.53,13.2,1.6,1.05,0.11,0.05,2.65,0.16,3.68,10.36,unidentified,2.49,1.49,1.0,1.63,5.67,1,1,-0.55,-0.06,1,1,0.53,0.09,1.2,0.07,0.92,0.0,3.09,9.29,3.26,5.3,4.7,16.5,0.72,0.02,1.96,0.18,6.18,31.38
29.5,38.0,15.0,7.88,5.2,2.67,7.67,5.44,4.33,12.5,7.83,30.5,unidentified,unidentified,home team stronger,0.0,0.2,0.0,0.0,0.07,0.12,0.01,0.13,0.23,0.0,0.23,0.16,27.5,5.25,5.81,16.94,0.2,0.19,0.37,0.39,0.39,0.76,16.38,11.38,unidentified,-0.37,-0.17,-0.2,-22.25,11.13,0,1,-0.01,0.02,1,0,0.0,0.01,0.12,0.39,0.27,0.36,18.69,10.09,21.6,6.64,8.84,17.42,0.02,0.07,0.52,0.75,43.83,38.85
15.0,3.67,8.0,23.0,12.67,9.33,6.67,14.0,4.2,3.0,12.0,4.4,unidentified,unidentified,equal strength teams,0.09,0.0,0.13,0.0,0.53,0.26,0.0,0.0,0.15,0.02,0.0,0.26,8.89,15.0,8.29,6.47,0.22,0.79,0.15,0.28,1.01,0.43,11.94,7.38,unidentified,0.58,0.07,0.51,6.11,-1.82,1,0,0.57,0.13,0,0,0.09,0.02,0.39,0.41,0.53,0.0,19.0,4.84,8.17,13.0,8.66,4.3,0.08,0.06,1.15,0.56,44.33,34.93
3.25,3.25,2.64,6.67,3.88,3.6,14.0,10.4,10.5,4.33,5.5,14.0,unidentified,unidentified,equal strength teams,0.0,0.05,0.06,0.63,0.0,0.34,0.18,0.05,0.16,0.0,0.04,0.13,3.05,4.72,11.63,7.94,0.11,0.97,0.39,0.17,1.08,0.56,3.88,9.79,unidentified,0.52,-0.28,0.8,1.67,-3.69,1,0,0.86,-0.22,0,1,0.63,0.18,0.4,0.29,0.05,0.09,4.96,9.16,3.56,7.95,3.12,12.25,0.28,0.06,1.6,0.53,7.71,19.54
14.25,20.0,26.67,24.67,12.0,5.0,5.5,2.83,4.43,3.0,3.17,4.4,unidentified,unidentified,home team stronger,0.16,0.0,0.04,0.0,0.0,0.0,0.04,0.03,0.35,0.0,0.0,0.55,20.31,13.89,4.25,3.52,0.2,0.0,0.42,0.55,0.2,0.97,17.1,3.89,unidentified,-0.77,-0.22,-0.55,-6.42,-0.73,0,0,-0.2,0.13,1,0,0.16,0.04,0.04,0.9,0.0,0.03,19.46,4.25,16.0,3.0,15.84,4.42,0.01,0.25,0.24,1.23,34.09,7.1
7.33,6.2,6.5,4.33,2.71,6.2,7.4,2.2,11.5,7.0,10.0,15.67,unidentified,unidentified,home team stronger,0.03,0.0,0.1,0.0,0.0,1.4,0.0,0.03,0.01,0.0,0.76,0.0,6.68,4.41,7.03,10.89,0.13,1.4,0.04,0.76,1.53,0.8,5.55,8.96,unidentified,0.73,0.09,0.64,-2.27,3.86,0,1,1.27,0.72,0,0,0.03,0.0,1.5,0.01,0.0,0.79,5.83,7.2,4.46,6.1,6.35,13.58,0.28,0.09,1.63,1.58,8.71,27.67
